               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.027263,           0.0091397,            0.015153,             0.73885,             0.99273,             0.83746,             0.57309,            0.014262,            0.003681,            0.005571,           0.0069805,           0.0069805,           0.0069805
                  63,            0.026416,           0.0083885,            0.015303,             0.73344,                   1,             0.81806,             0.55774,             0.01609,            0.003571,           0.0052473,            0.006931,            0.006931,            0.006931
                  64,             0.02629,           0.0081332,            0.011862,             0.72483,                   1,             0.84014,             0.50848,            0.020533,           0.0036521,           0.0055381,           0.0068815,           0.0068815,           0.0068815
                  65,            0.030376,           0.0084763,            0.018924,             0.72726,                   1,             0.82252,             0.59752,            0.013917,           0.0034354,           0.0051881,            0.006832,            0.006832,            0.006832
                  66,            0.025547,           0.0089804,            0.014562,             0.71013,             0.99619,             0.84693,             0.51314,            0.017042,           0.0034819,           0.0057838,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026058,           0.0087243,            0.014464,             0.71502,             0.96709,             0.82618,             0.54501,            0.017127,           0.0033725,           0.0063743,            0.006733,            0.006733,            0.006733
                  68,            0.027562,           0.0088784,            0.017895,             0.72474,             0.93734,             0.82121,             0.60902,            0.015319,           0.0033188,           0.0075316,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025501,           0.0077174,            0.016164,             0.73667,             0.94622,             0.83097,             0.62257,            0.013221,           0.0032041,           0.0076904,            0.006634,            0.006634,            0.006634
                  70,            0.023126,           0.0083655,            0.015674,             0.72178,             0.97167,             0.87875,             0.66771,            0.013873,           0.0033946,            0.005882,           0.0065845,           0.0065845,           0.0065845
                  71,            0.025418,           0.0078282,            0.013331,             0.71108,                   1,             0.83367,             0.65416,             0.01328,            0.003376,           0.0054394,            0.006535,            0.006535,            0.006535
                  72,            0.026828,           0.0083122,            0.014719,             0.68916,             0.98582,             0.81449,             0.61305,            0.013556,           0.0032667,           0.0087193,           0.0064855,           0.0064855,           0.0064855
                  73,            0.026989,           0.0080771,            0.015929,             0.72053,             0.93632,             0.84778,             0.66357,            0.012287,           0.0032309,           0.0083705,            0.006436,            0.006436,            0.006436
                  74,            0.023378,           0.0079882,            0.013691,             0.71671,                   1,             0.82096,             0.62404,            0.013295,           0.0032472,           0.0063136,           0.0063865,           0.0063865,           0.0063865
                  75,            0.023707,           0.0078895,             0.01559,             0.73778,             0.99145,             0.85604,             0.68096,            0.012829,           0.0033068,           0.0084706,            0.006337,            0.006337,            0.006337
                  76,            0.023905,           0.0086304,             0.01226,             0.72648,             0.98005,             0.86984,             0.66441,            0.013861,           0.0033292,           0.0097251,           0.0062875,           0.0062875,           0.0062875
                  77,             0.02425,            0.008806,            0.015116,             0.77465,              0.9862,             0.86822,             0.65415,            0.013781,           0.0032482,           0.0087041,            0.006238,            0.006238,            0.006238
                  78,            0.022259,           0.0078235,             0.01129,             0.79061,             0.99602,             0.88811,             0.70193,            0.011814,           0.0031149,           0.0066708,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023584,           0.0083719,            0.012956,             0.78728,             0.99852,             0.88528,             0.65617,             0.01461,            0.003195,           0.0063075,            0.006139,            0.006139,            0.006139
                  80,            0.024507,           0.0080294,            0.014594,             0.78092,                   1,             0.89083,             0.62546,            0.014779,           0.0031711,           0.0055231,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023301,           0.0081767,            0.013364,             0.77554,                   1,             0.89385,             0.72817,            0.011871,           0.0031161,            0.005465,             0.00604,             0.00604,             0.00604
                  82,            0.022739,           0.0083106,            0.012927,             0.79108,                   1,             0.89306,             0.65739,            0.012827,           0.0030717,           0.0050363,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022882,           0.0084005,            0.013608,             0.73971,             0.98644,             0.89037,             0.68868,              0.0127,            0.003051,           0.0095791,            0.005941,            0.005941,            0.005941
                  84,            0.024927,           0.0088919,            0.010513,              0.7431,             0.97917,             0.85243,             0.65413,             0.01356,           0.0030876,           0.0093255,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025717,             0.00744,             0.01887,             0.74228,             0.98711,             0.85688,             0.67736,            0.012044,           0.0030324,           0.0092309,            0.005842,            0.005842,            0.005842
                  86,            0.022927,           0.0082685,            0.012501,             0.74471,             0.97231,             0.86029,             0.63581,            0.012665,           0.0031209,           0.0086703,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022717,           0.0087738,            0.013961,             0.75571,             0.98662,             0.84587,             0.64381,            0.012648,           0.0031609,            0.010256,            0.005743,            0.005743,            0.005743
                  88,            0.021322,           0.0076024,            0.014995,             0.76381,             0.98958,             0.87073,             0.70454,            0.012749,           0.0031985,           0.0082234,           0.0056935,           0.0056935,           0.0056935
                  89,            0.023639,           0.0086176,            0.012249,             0.73149,             0.96739,             0.87967,             0.69718,            0.012589,           0.0032243,           0.0058988,            0.005644,            0.005644,            0.005644
                  90,            0.021757,           0.0072305,            0.017235,             0.71949,             0.96945,             0.90311,             0.72099,            0.012491,           0.0030241,           0.0085242,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022892,           0.0082467,            0.012551,             0.71563,             0.96836,             0.91077,             0.67041,            0.014686,           0.0030617,           0.0088954,            0.005545,            0.005545,            0.005545
                  92,            0.023156,           0.0081861,            0.012698,             0.71849,             0.96929,             0.90624,             0.71028,            0.013597,           0.0030402,           0.0087773,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02184,           0.0077745,            0.011258,             0.68562,             0.99718,             0.88992,             0.68155,            0.012318,           0.0030116,           0.0070237,            0.005446,            0.005446,            0.005446
                  94,            0.022357,           0.0077079,            0.013608,             0.70829,             0.92708,             0.89209,             0.68472,            0.013017,           0.0030612,           0.0065493,           0.0053965,           0.0053965,           0.0053965
                  95,            0.022207,           0.0077901,            0.014609,             0.70312,             0.99656,             0.88624,             0.69451,            0.012005,           0.0030639,           0.0071675,            0.005347,            0.005347,            0.005347
                  96,            0.021482,           0.0075532,             0.01181,             0.71887,              0.9593,             0.93096,             0.70597,            0.012653,           0.0032677,           0.0075766,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023692,           0.0085828,            0.013402,              0.7361,             0.99676,             0.97417,             0.77428,            0.011962,            0.003189,           0.0060704,            0.005248,            0.005248,            0.005248
                  98,            0.022621,           0.0083662,            0.013281,             0.87446,               0.875,             0.95259,             0.76471,            0.012342,           0.0032569,           0.0042106,           0.0051985,           0.0051985,           0.0051985
                  99,            0.021704,           0.0073868,            0.010104,             0.81477,              0.9375,             0.96821,             0.75003,            0.013139,           0.0031829,           0.0042519,            0.005149,            0.005149,            0.005149
                 100,            0.021667,           0.0076444,            0.012239,             0.82234,             0.93301,             0.94708,             0.70571,            0.012702,           0.0031552,           0.0048914,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022575,           0.0079939,            0.012882,             0.78811,             0.89473,             0.96255,             0.74208,            0.012955,           0.0032044,           0.0064285,             0.00505,             0.00505,             0.00505
                 102,            0.021959,           0.0077753,            0.012589,             0.71893,             0.94892,             0.95134,             0.72382,            0.013158,           0.0032471,           0.0073479,           0.0050005,           0.0050005,           0.0050005
                 103,            0.021926,           0.0080292,            0.012498,             0.78176,                   1,              0.9825,             0.74029,            0.013486,           0.0031572,           0.0046592,            0.004951,            0.004951,            0.004951
                 104,            0.022187,           0.0073121,            0.011296,             0.80464,                   1,             0.98071,             0.74497,            0.013083,           0.0032417,           0.0040366,           0.0049015,           0.0049015,           0.0049015
                 105,            0.023693,           0.0080154,            0.014438,             0.79718,             0.92373,             0.96643,             0.76408,            0.012121,           0.0030847,           0.0040903,            0.004852,            0.004852,            0.004852
                 106,            0.020438,           0.0077029,            0.018089,             0.80042,             0.90414,             0.96643,              0.7582,            0.011537,           0.0030396,           0.0039002,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021522,           0.0083708,            0.011766,             0.84644,                   1,             0.97071,             0.75296,            0.011769,           0.0029669,           0.0038203,            0.004753,            0.004753,            0.004753
